ticker	url_ico_TW	url_ico_big_TW	comp_name_TW	comp_inde_TW	path_ico	path_ico_big	comp_date_TW
ADBE	https://s3-symbol-logo.tradingview.com/adobe.svg	https://s3-symbol-logo.tradingview.com/adobe--big.svg	Adobe Inc.	NASDAQ	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	"Adobe Inc.
1D
NASDAQ"
ADSK	https://s3-symbol-logo.tradingview.com/autodesk.svg	https://s3-symbol-logo.tradingview.com/autodesk--big.svg	Autodesk, Inc.	NASDAQ	d_result/icons/ADSK.svg	d_result/icons/ADSK_big.svg	"Autodesk, Inc.
1D
NASDAQ"
AMD	https://s3-symbol-logo.tradingview.com/advanced-micro-devices.svg	https://s3-symbol-logo.tradingview.com/advanced-micro-devices--big.svg	Advanced Micro Devices Inc	NASDAQ	d_result/icons/AMD.svg	d_result/icons/AMD_big.svg	"Advanced Micro Devices Inc
1D
NASDAQ"
AMZN	https://s3-symbol-logo.tradingview.com/amazon.svg	https://s3-symbol-logo.tradingview.com/amazon--big.svg	Amazon.com, Inc.	NASDAQ	d_result/icons/AMZN.svg	d_result/icons/AMZN_big.svg	"Amazon.com, Inc.
1D
NASDAQ"
APPS	https://s3-symbol-logo.tradingview.com/digital-turbine.svg	https://s3-symbol-logo.tradingview.com/digital-turbine--big.svg	Digital Turbine, Inc.	NASDAQ	d_result/icons/APPS.svg	d_result/icons/APPS_big.svg	"Digital Turbine, Inc.
1D
NASDAQ"
CRWD	https://s3-symbol-logo.tradingview.com/crowdstrike.svg	https://s3-symbol-logo.tradingview.com/crowdstrike--big.svg	CrowdStrike Holdings, Inc.	NASDAQ	d_result/icons/CRWD.svg	d_result/icons/CRWD_big.svg	"CrowdStrike Holdings, Inc.
1D
NASDAQ"
DDOG	https://s3-symbol-logo.tradingview.com/datadog.svg	https://s3-symbol-logo.tradingview.com/datadog--big.svg	Datadog, Inc.	NASDAQ	d_result/icons/DDOG.svg	d_result/icons/DDOG_big.svg	"Datadog, Inc.
1D
NASDAQ"
EPAM	https://s3-symbol-logo.tradingview.com/epam-sys.svg	https://s3-symbol-logo.tradingview.com/epam-sys--big.svg	EPAM Systems, Inc.	NYSE	d_result/icons/EPAM.svg	d_result/icons/EPAM_big.svg	"EPAM Systems, Inc.
1D
NYSE"
ETSY	https://s3-symbol-logo.tradingview.com/etsy.svg	https://s3-symbol-logo.tradingview.com/etsy--big.svg	Etsy, Inc.	NASDAQ	d_result/icons/ETSY.svg	d_result/icons/ETSY_big.svg	"Etsy, Inc.
1D
NASDAQ"
GME	https://s3-symbol-logo.tradingview.com/gamestop.svg	https://s3-symbol-logo.tradingview.com/gamestop--big.svg	GameStop Corporation	NYSE	d_result/icons/GME.svg	d_result/icons/GME_big.svg	"GameStop Corporation
1D
NYSE"
