Price	ticker	interval	path_stra	path_candle	pine_path	Net Profit_usd	Full Indicator Name	key_techs	Name	Index	Net Profit_per	Trade Activity Per Candle	Total Closed Trades	Percent Profitable_per	Profit Factor	Max Drawdown_usd	Max Drawdown_per	Avg Trade_usd	Avg Trade_per	Avg # Bars in Trades	Release date	months_trained	id_model	path_ico	path_ico_big	pine_path_shadow	n_candles
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1BOL_6c930a5c_profit.png	d_result/pine_TW_img\ADBE_1d_1BOL_6c930a5c_candel.png	d_result/pine_TW\ADBE_1d_1BOL_de5_q0.474_id6c930a5c.pine.java	4339.55	Bollinger RSI Double Strategy	1BOL	Adobe	NASDAQ	0.43	0.91	314	88.54	21.664	152.21	0.02	13.82	24.96	101	2024-09-06	46	6c930a5c	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMUJPTCAtIDZjOTMwYTVj.pine	345
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1FIB_924f8854_profit.png	d_result/pine_TW_img\ADBE_1d_1FIB_924f8854_candel.png	d_result/pine_TW\ADBE_1d_1FIB_de5_q0.432_id924f8854.pine.java	3358.63	Fibonacci Bollinger Bands (FBB)	1FIB	Adobe	NASDAQ	0.34	0.099	45	100.0		98.54	0.01	74.64	20.21	41	2024-09-04	49	924f8854	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMUZJQiAtIDkyNGY4ODU0.pine	453
0	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1ICH_a373bd3c_profit.png	d_result/pine_TW_img\ADBE_1d_1ICH_a373bd3c_candel.png	d_result/pine_TW\ADBE_1d_1ICH_de5_q0.39_ida373bd3c.pine.java	4037.97	Ichimoku Oscillator	1ICH	Adobe	NASDAQ	0.4	0.212	73	86.3	92.522	236.57	0.02	55.31	29.21	111	2024-09-06	37	a373bd3c	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMUlDSCAtIGEzNzNiZDNj.pine	345
69	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1KON_ef28c133_profit.png	d_result/pine_TW_img\ADBE_1d_1KON_ef28c133_candel.png	d_result/pine_TW\ADBE_1d_1KON_de5_q0.411_idef28c133.pine.java	1302.85	Blai5 Koncorde v10	1KON	Adobe	NASDAQ	0.13	0.759	344	74.42	7.604	153.81	0.02	3.79	4.87	46	2024-09-04	33	ef28c133	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMUtPTiAtIGVmMjhjMTMz.pine	453
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1M00_8752053a_profit.png	d_result/pine_TW_img\ADBE_1d_1M00_8752053a_candel.png	d_result/pine_TW\ADBE_1d_1M00_de5_q0.366_id8752053a.pine.java	3230.31	Money Flow Index (MFI)	1M00	Adobe	NASDAQ	0.32	2.409	831	66.91	3.49	268.23	0.03	3.89	19.26	32	2024-09-06	31	8752053a	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMU0wMCAtIDg3NTIwNTNh.pine	345
0	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1MAC_cb9cdada_profit.png	d_result/pine_TW_img\ADBE_1d_1MAC_cb9cdada_candel.png	d_result/pine_TW\ADBE_1d_1MAC_de5_q0.4_idcb9cdada.pine.java	2116.11	MACD Ultimate MTF	1MAC	Adobe	NASDAQ	0.21	0.322	146	77.4	6.375	153.81	0.02	14.49	4.32	8	2024-09-04	51	cb9cdada	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMU1BQyAtIGNiOWNkYWRh.pine	453
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1SMA_7ec0113f_profit.png	d_result/pine_TW_img\ADBE_1d_1SMA_7ec0113f_candel.png	d_result/pine_TW\ADBE_1d_1SMA_de5_q0.436_id7ec0113f.pine.java	2116.11	Smart Money Concepts (SMC) by LuxAlgo	1SMA	Adobe	NASDAQ	0.21	0.423	146	77.4	6.375	153.81	0.02	14.49	4.32	8	2024-09-06	34	7ec0113f	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMVNNQSAtIDdlYzAxMTNm.pine	345
0	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1BOL_6c930a5c_profit.png	d_result/pine_TW_img\ADBE_1d_1BOL_6c930a5c_candel.png	d_result/pine_TW\ADBE_1d_1BOL_de5_q0.474_id6c930a5c.pine.java	4339.55	Bollinger RSI Double Strategy	1BOL	Adobe	NASDAQ	0.43	0.693	314	88.54	21.664	152.21	0.02	13.82	24.96	101	2024-09-04	39	6c930a5c	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMUJPTCAtIDZjOTMwYTVj.pine	453
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1FIB_924f8854_profit.png	d_result/pine_TW_img\ADBE_1d_1FIB_924f8854_candel.png	d_result/pine_TW\ADBE_1d_1FIB_de5_q0.432_id924f8854.pine.java	3358.63	Fibonacci Bollinger Bands (FBB)	1FIB	Adobe	NASDAQ	0.34	0.13	45	100.0		98.54	0.01	74.64	20.21	41	2024-09-06	40	924f8854	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMUZJQiAtIDkyNGY4ODU0.pine	345
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1ICH_a373bd3c_profit.png	d_result/pine_TW_img\ADBE_1d_1ICH_a373bd3c_candel.png	d_result/pine_TW\ADBE_1d_1ICH_de5_q0.39_ida373bd3c.pine.java	4037.97	Ichimoku Oscillator	1ICH	Adobe	NASDAQ	0.4	0.161	73	86.3	92.522	236.57	0.02	55.31	29.21	111	2024-09-04	52	a373bd3c	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMUlDSCAtIGEzNzNiZDNj.pine	453
69	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1KON_ef28c133_profit.png	d_result/pine_TW_img\ADBE_1d_1KON_ef28c133_candel.png	d_result/pine_TW\ADBE_1d_1KON_de5_q0.411_idef28c133.pine.java	1302.85	Blai5 Koncorde v10	1KON	Adobe	NASDAQ	0.13	0.997	344	74.42	7.604	153.81	0.02	3.79	4.87	46	2024-09-06	28	ef28c133	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMUtPTiAtIGVmMjhjMTMz.pine	345
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1M00_8752053a_profit.png	d_result/pine_TW_img\ADBE_1d_1M00_8752053a_candel.png	d_result/pine_TW\ADBE_1d_1M00_de5_q0.366_id8752053a.pine.java	3230.31	Money Flow Index (MFI)	1M00	Adobe	NASDAQ	0.32	1.834	831	66.91	3.49	268.23	0.03	3.89	19.26	32	2024-09-04	32	8752053a	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMU0wMCAtIDg3NTIwNTNh.pine	453
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1MAC_cb9cdada_profit.png	d_result/pine_TW_img\ADBE_1d_1MAC_cb9cdada_candel.png	d_result/pine_TW\ADBE_1d_1MAC_de5_q0.4_idcb9cdada.pine.java	2116.11	MACD Ultimate MTF	1MAC	Adobe	NASDAQ	0.21	0.423	146	77.4	6.375	153.81	0.02	14.49	4.32	8	2024-09-06	35	cb9cdada	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMU1BQyAtIGNiOWNkYWRh.pine	345
0	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1MAD_6e8d8a36_profit.png	d_result/pine_TW_img\ADBE_1d_1MAD_6e8d8a36_candel.png	d_result/pine_TW\ADBE_1d_1MAD_de5_q0.4_id6e8d8a36.pine.java	2725.63	Madrid Moving Average Ribbon	1MAD	Adobe	NASDAQ	0.27	0.967	438	73.06	9.258	156.44	0.02	6.22	5.69	28	2024-09-04	34	6e8d8a36	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMU1BRCAtIDZlOGQ4YTM2.pine	453
73	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1SQU_184e8081_profit.png	d_result/pine_TW_img\ADBE_1d_1SQU_184e8081_candel.png	d_result/pine_TW\ADBE_1d_1SQU_de5_q0.379_id184e8081.pine.java	2608.71	Squeeze Momentum Indicator (LazyBear)	1SQU	Adobe	NASDAQ	0.26	0.212	73	86.3	27.343	97.96	0.01	35.74	10.79	16	2024-09-06	45	184e8081	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMVNRVSAtIDE4NGU4MDgx.pine	345
59	ADBE	1d	d_result/pine_TW_img\ADBE_1d_1SUP_829a81c7_profit.png	d_result/pine_TW_img\ADBE_1d_1SUP_829a81c7_candel.png	d_result/pine_TW\ADBE_1d_1SUP_de5_q0.365_id829a81c7.pine.java	735.44	SuperTrend by KivancOzbilgic	1SUP	Adobe	NASDAQ	0.07	0.252	114	62.28	2.011	404.71	0.04	6.45	1501.93	323	2024-09-04	34	829a81c7	d_result/icons/ADBE.svg	d_result/icons/ADBE_big.svg	d_result/pine_TW_hide/QURCRSAtIDFkIC0gMVNVUCAtIDgyOWE4MWM3.pine	453
